feature,importance
reimb_zscore,0.9996837552988617
anomaly_reimb,0.0003162447011382998
trip_duration_days,0.0
miles_traveled,0.0
high_mileage,0.0
long_trip,0.0
total_receipts_amount,0.0
miles_per_day,0.0
high_receipts,0.0
receipts_per_day,0.0
receipts_to_miles_ratio,0.0
reimb_per_mile,0.0
mileage_efficiency,0.0
receipt_efficiency,0.0
reimb_per_day,0.0
reimb_per_receipt,0.0
over_receipt_cap,0.0
near_receipt_cap,0.0
under_100_miles,0.0
miles_x_duration,0.0
miles_x_receipts,0.0
receipts_x_duration,0.0
miles_zscore,0.0
anomaly_miles,0.0
