trip_duration_days,miles_traveled,total_receipts_amount,output,miles_per_day,receipts_per_day,receipts_per_mile,est_mileage_reimb,est_per_diem,est_total_simple,high_mileage,very_high_mileage,long_trip,medium_trip,overnight,high_receipts,very_high_receipts,low_receipts,near_receipt_cap,over_receipt_cap,under_100_miles,local_trip,regional_trip,miles_x_duration,receipts_x_duration,miles_x_receipts,receipts_to_miles_ratio,miles_to_days_ratio,miles_squared,duration_squared,receipts_squared,miles_sqrt,duration_sqrt,receipts_sqrt,miles_log,duration_log,receipts_log,miles_<100,miles_100-300,miles_300-500,miles_>500,dur_Short,dur_Medium,dur_Long,rec_Low,rec_Medium,rec_High,rec_VeryHigh,miles_zscore,duration_zscore,receipts_zscore,anomaly_miles,anomaly_duration,anomaly_receipts,weighted_estimate_v1,weighted_estimate_v2
1,263.0,396.49,198.42,263.0,396.49,1.5075665399239544,172.26500000000001,150.0,718.755,0,0,0,0,0,0,0,0,0,0,0,0,1,263.0,396.49,104276.87,1.5075665399239544,263.0,69169.0,1,157204.3201,16.217274740226856,1.0,19.912056649176147,5.575949103146316,0.6931471805599453,5.985169776545233,False,True,False,False,True,False,False,False,True,False,False,-0.9048703544937418,-1.5563233881696554,-1.0686778155762977,0,0,0,539.457,627.99
5,895.0,2329.69,1791.96,179.0,465.938,2.603005586592179,586.225,750.0,3665.915,1,1,0,1,1,1,1,0,0,1,0,0,0,4475.0,11648.45,2085072.55,2.603005586592179,179.0,801025.0,25,5427455.4961,29.916550603303182,2.23606797749979,48.26686233846157,6.79794041297493,1.791759469228055,7.753919640058795,False,False,False,True,False,True,False,False,False,False,True,0.8729005576587845,-0.5233653871720965,1.5375161258767192,0,0,0,2699.9770000000003,3277.19
9,938.0,742.17,1632.1,104.22222222222223,82.46333333333332,0.791226012793177,614.39,1350.0,2706.56,1,1,1,0,1,0,0,0,1,0,0,0,0,8442.0,6679.53,696155.46,0.791226012793177,104.22222222222223,879844.0,81,550816.3089,30.62678566222711,3.0,27.242797213208483,6.844815479208263,2.302585092994046,6.61092482069997,False,False,False,True,False,False,True,False,True,False,False,0.9938564899729595,0.5095926138254625,-0.6026581995606352,0,0,0,1658.126,2111.17
12,18.0,2461.37,1556.78,1.5,205.11416666666665,136.74277777777777,11.790000000000001,1800.0,4273.16,0,0,1,0,1,1,1,0,0,1,1,1,0,216.0,29536.44,44304.659999999996,136.74277777777777,1.5,324.0,144,6058342.276899999,4.242640687119285,3.4641016151377544,49.612196081205674,2.9444389791664403,2.5649493574615367,7.808879579774531,True,False,False,False,False,False,True,False,False,False,True,-1.5940378758186926,1.2843111145736317,1.7150371367449857,0,0,0,2580.886,3670.37
9,1102.0,540.6,1455.85,122.44444444444444,60.06666666666667,0.4905626134301271,721.8100000000001,1350.0,2612.41,1,1,1,0,1,0,0,0,0,0,0,0,0,9918.0,4865.400000000001,595741.2000000001,0.4905626134301271,122.44444444444444,1214404.0,81,292248.36000000004,33.19638534539566,3.0,23.250806437627062,7.005789019253503,2.302585092994046,6.294527721598065,False,False,False,False,False,False,True,False,True,False,False,1.4551767899619061,0.5095926138254625,-0.8743996193716658,0,0,0,1604.29,1991.6
7,1126.0,1103.75,2014.72,160.85714285714286,157.67857142857142,0.9802397868561279,737.5300000000001,1050.0,2891.28,1,1,0,1,1,1,0,0,0,1,0,0,0,7882.0,7726.25,1242822.5,0.9802397868561279,160.85714285714286,1267876.0,49,1218264.0625,33.555923471125034,2.6457513110645907,33.22273318076043,7.027314514039777,2.0794415416798357,7.00737434401085,False,False,False,False,False,True,False,False,False,True,False,1.5226870777651667,-0.006886386673316989,-0.11520340680738567,0,0,0,1970.5300000000002,2366.75
14,481.0,939.99,877.17,34.357142857142854,67.14214285714286,1.9542411642411643,315.055,2100.0,3355.045,1,0,1,0,1,1,0,0,0,1,0,0,0,6734.0,13159.86,452135.19,1.9542411642411643,34.357142857142854,231361.0,196,883581.2001,21.93171219946131,3.7416573867739413,30.65925635105979,6.1779441140506,2.70805020110221,6.846932512536352,False,False,True,False,False,False,True,False,False,True,False,-0.291651906947459,1.800790115072411,-0.3359722459612994,0,0,0,1767.047,2580.49
13,1204.0,24.47,1344.17,92.61538461538461,1.8823076923076922,0.02032392026578073,788.62,1950.0,2763.09,1,1,1,0,1,0,0,1,0,0,0,0,0,15652.0,318.11,29461.879999999997,0.02032392026578073,92.61538461538461,1449616.0,169,598.7809,34.698703145794944,3.605551275463989,4.946716082412655,7.094234845924755,2.6390573296152584,3.2375012889913655,False,False,False,False,False,False,True,True,False,False,False,1.7420955131257634,1.5425506148230215,-1.570207026262906,0,0,0,1458.196,1926.47
5,406.0,1084.16,1399.39,81.2,216.83200000000002,2.670344827586207,265.93,750.0,2100.09,1,0,0,1,1,1,0,0,0,1,0,0,0,2030.0,5420.8,440168.96,2.670344827586207,81.2,164836.0,25,1175402.9056000002,20.149441679609886,2.23606797749979,32.92658500361068,6.008813185442595,1.791759469228055,6.989482720540389,False,False,True,False,False,True,False,False,False,True,False,-0.502621556332648,-0.5233653871720965,-0.14161316229728035,0,0,0,1383.258,1787.16
1,76.0,13.74,158.35,76.0,13.74,0.18078947368421053,49.78,150.0,213.52,0,0,0,0,0,0,0,1,0,0,1,0,0,76.0,13.74,1044.24,0.18078947368421053,76.0,5776.0,1,188.7876,8.717797887081348,1.0,3.7067505985701277,4.343805421853684,0.6931471805599453,2.6905648867611904,True,False,False,False,True,False,False,True,False,False,False,-1.4308880136274797,-1.5563233881696554,-1.5846724002499695,0,0,0,110.772,151.74
3,1074.0,247.32,636.02,358.0,82.44,0.23027932960893854,703.47,450.0,1400.79,1,1,0,0,1,0,0,1,0,0,0,0,0,3222.0,741.96,265621.68,0.23027932960893854,358.0,1153476.0,9,61167.1824,32.77193921634788,1.7320508075688772,15.726410906497389,6.980075940561763,1.3862943611198906,5.514718236994854,False,False,False,False,True,False,False,True,False,False,False,1.376414787524769,-1.0398443876708758,-1.2697775208559101,0,0,0,1051.326,1084.32
8,207.0,1146.93,1479.01,25.875,143.36625,5.540724637681159,135.585,1200.0,2482.5150000000003,0,0,1,0,1,1,0,0,0,1,0,0,1,1656.0,9175.44,237414.51,5.540724637681159,25.875,42849.0,64,1315448.4249000002,14.38749456993816,2.8284271247461903,33.86635498544241,5.337538079701318,2.1972245773362196,7.045715599410667,False,True,False,False,False,False,True,False,False,True,False,-1.0623943593680163,0.25135311357607276,-0.05699139853512133,0,0,0,1453.1290000000001,2050.4300000000003
2,623.18,347.54,625.15,311.59,173.77,0.5576879874193653,408.18289999999996,300.0,1055.7229,1,1,0,0,1,0,0,0,0,0,0,0,0,1246.36,695.08,216579.9772,0.5576879874193653,311.59,388353.31239999994,4,120784.05160000002,24.9635734621468,1.4142135623730951,18.64242473499625,6.436438788310859,1.0986122886681098,5.853753001232496,False,False,False,True,True,False,False,False,True,False,False,0.10829028971368987,-1.2980838879202656,-1.1346685011929567,0,0,0,786.2149,859.13
5,1028.0,653.19,1313.95,205.6,130.638,0.635398832684825,673.34,750.0,2076.53,1,1,0,1,1,0,0,0,0,0,0,0,0,5140.0,3265.9500000000003,671479.3200000001,0.635398832684825,205.6,1056784.0,25,426657.1761000001,32.0624390837628,2.23606797749979,25.55758204525616,6.9363427358340495,1.791759469228055,6.483397829142147,False,False,False,False,False,True,False,False,True,False,False,1.2470200692351863,-0.5233653871720965,-0.7226143018317345,0,0,0,1445.892,1667.19
5,966.0,359.51,927.98,193.2,71.902,0.37216356107660453,632.73,750.0,1742.24,1,1,0,1,1,0,0,0,0,0,0,0,0,4830.0,1797.55,347286.66,0.37216356107660453,193.2,933156.0,25,129247.44009999999,31.080540535840107,2.23606797749979,18.9607489303561,6.874198495453294,1.791759469228055,5.887519695591318,False,False,False,True,False,True,False,False,True,False,False,1.0726184924100968,-0.5233653871720965,-1.1185314530452262,0,0,0,1170.338,1342.51
4,198.0,2106.63,1450.67,49.5,526.6575,10.639545454545456,129.69,600.0,2836.32,0,0,0,1,1,1,1,0,0,1,0,0,1,792.0,8426.52,417112.74000000005,10.639545454545456,49.5,39204.0,16,4437889.956900001,14.071247279470288,2.0,45.8980391738035,5.293304824724492,1.6094379124341003,7.653319372433863,False,True,False,False,False,True,False,False,False,False,True,-1.087710717294239,-0.7816048874214861,1.2368035143618683,0,0,0,2014.9940000000001,2605.63
8,34.0,1225.2,1438.52,4.25,153.15,36.03529411764706,22.27,1200.0,2447.4700000000003,0,0,1,0,1,1,1,0,0,1,1,1,0,272.0,9801.6,41656.8,36.03529411764706,4.25,1156.0,64,1501115.04,5.830951894845301,2.8284271247461903,35.002857026248584,3.5553480614894135,2.1972245773362196,7.111675235328588,True,False,False,False,False,False,True,False,False,True,False,-1.5490310172831856,0.25135311357607276,0.048526292235377105,0,0,0,1402.43,2042.2
8,621.0,2391.34,1593.12,77.625,298.9175,3.850789049919485,406.755,1200.0,3998.0950000000003,1,1,1,0,1,1,1,0,0,1,0,0,0,4968.0,19130.72,1485022.1400000001,3.850789049919485,77.625,385641.0,64,5718506.995600001,24.919871588754223,2.8284271247461903,48.90132922528794,6.432940092739179,2.1972245773362196,7.780027245437751,False,False,False,True,False,False,True,False,False,False,True,0.10215810523822719,0.25135311357607276,1.6206279903969854,0,0,0,2719.827,3501.84
11,398.0,723.39,1154.77,36.18181818181818,65.76272727272728,1.8175628140703517,260.69,1650.0,2634.08,1,0,1,0,1,0,0,0,1,0,0,0,0,4378.0,7957.29,287909.22,1.8175628140703517,36.18181818181818,158404.0,121,523293.0921,19.949937343260004,3.3166247903554,26.895910469809344,5.988961416889864,2.4849066497880004,6.58532992138609,False,False,True,False,False,False,True,False,True,False,False,-0.5251249856004016,1.0260716143242419,-0.6279759743488038,0,0,0,1389.402,2022.3899999999999
9,1080.0,539.51,1306.91,120.0,59.94555555555556,0.49954629629629627,707.4,1350.0,2596.91,1,1,1,0,1,0,0,0,0,0,0,0,0,9720.0,4855.59,582670.8,0.49954629629629627,120.0,1166400.0,81,291071.0401,32.863353450309965,3.0,23.22735456310081,6.985641817639208,2.302585092994046,6.2925131382957185,False,False,False,False,False,False,True,False,True,False,False,1.3932923594755842,0.5095926138254625,-0.8758690748838652,0,0,0,1589.008,1979.51
11,844.0,1962.77,1787.57,76.72727272727273,178.43363636363637,2.3255568720379145,552.82,1650.0,4165.59,1,1,1,0,1,1,1,0,0,1,0,0,0,9284.0,21590.47,1656577.88,2.3255568720379145,76.72727272727273,712336.0,121,3852466.0729,29.0516780926679,3.3166247903554,44.303160158164786,6.739336627357174,2.4849066497880004,7.582621374113767,False,False,False,True,False,False,True,False,False,False,True,0.7294411960768559,1.0260716143242419,1.042862349238016,0,0,0,2673.036,3484.77
9,310.69,239.64,828.16,34.52111111111111,26.626666666666665,0.771315459139335,203.50195,1350.0,1793.14195,1,0,1,0,1,0,0,1,0,0,0,0,0,2796.21,2156.7599999999998,74453.75159999999,0.771315459139335,34.52111111111111,96528.2761,81,57427.32959999999,17.626400653565096,3.0,15.480310074413884,5.742009104128395,2.302585092994046,5.483302040761475,False,False,True,False,False,False,True,True,False,False,False,-0.7707217867713463,0.5095926138254625,-1.2801311156574613,0,0,0,845.21395,1294.9850000000001
