feature,importance
weighted_estimate_v1,0.8010810642949623
weighted_estimate_v2,0.0772236345712267
miles_x_duration,0.06558311376410512
est_total_simple,0.016429720282535205
receipts_x_duration,0.012004503314034092
receipts_per_day,0.00418839601954646
miles_x_receipts,0.0036464013841867025
total_receipts_amount,0.0035387307274359716
receipts_to_miles_ratio,0.003255393071473342
miles_to_days_ratio,0.0032407781362046484
receipts_per_mile,0.0022515009571836163
miles_per_day,0.0018571081834380383
est_per_diem,0.0016437156947492113
receipts_sqrt,0.0011521786522780395
duration_squared,0.0010207864335589796
est_mileage_reimb,0.0005183912470479124
overnight,0.000448425461987442
receipts_log,0.00036742921643014416
medium_trip,0.0003289719087349971
receipts_zscore,0.00011707282098556991
trip_duration_days,0.0001026838578955336
very_high_mileage,0.0
high_mileage,0.0
miles_traveled,0.0
long_trip,0.0
over_receipt_cap,0.0
under_100_miles,0.0
high_receipts,0.0
miles_squared,0.0
local_trip,0.0
regional_trip,0.0
very_high_receipts,0.0
low_receipts,0.0
near_receipt_cap,0.0
duration_sqrt,0.0
receipts_squared,0.0
duration_log,0.0
miles_log,0.0
miles_sqrt,0.0
miles_zscore,0.0
anomaly_miles,0.0
duration_zscore,0.0
anomaly_receipts,0.0
anomaly_duration,0.0
