,0
reimb_zscore,0.9995998956021198
anomaly_reimb,0.00018622173579177362
miles_x_duration,3.3820465761488146e-05
reimb_per_day,2.6222780987747815e-05
miles_traveled,1.5303004949609962e-05
miles_per_day,1.4787277001965847e-05
receipts_per_day,1.442540662580047e-05
miles_x_receipts,1.168270587832612e-05
reimb_per_receipt,1.139350015573527e-05
reimb_per_mile,1.1389141215750308e-05
total_receipts_amount,1.1073654119353879e-05
miles_zscore,9.907697086372893e-06
mileage_efficiency,9.408859787045969e-06
receipts_to_miles_ratio,9.299185298108234e-06
receipt_efficiency,9.132831490796843e-06
