feature,importance
weighted_estimate_v1,0.6473184
weighted_estimate_v2,0.110132486
est_total_simple,0.044150576
duration_squared,0.027019223
miles_x_duration,0.024830956
receipts_per_day,0.017625548
receipts_to_miles_ratio,0.014949793
miles_x_receipts,0.011805016
receipts_squared,0.010531317
medium_trip,0.010497697
receipts_x_duration,0.009027268
est_per_diem,0.008856264
trip_duration_days,0.008847149
miles_traveled,0.0072254282
total_receipts_amount,0.007012973
miles_to_days_ratio,0.0068745245
miles_per_day,0.006430577
est_mileage_reimb,0.005666164
receipts_per_mile,0.0049310345
miles_squared,0.003878882
receipts_sqrt,0.0031012925
regional_trip,0.00301074
near_receipt_cap,0.0030040054
local_trip,0.0025771968
very_high_receipts,0.00069547055
long_trip,0.0
high_mileage,0.0
very_high_mileage,0.0
high_receipts,0.0
low_receipts,0.0
over_receipt_cap,0.0
overnight,0.0
under_100_miles,0.0
miles_log,0.0
duration_sqrt,0.0
miles_sqrt,0.0
receipts_log,0.0
duration_log,0.0
miles_zscore,0.0
duration_zscore,0.0
anomaly_miles,0.0
receipts_zscore,0.0
anomaly_receipts,0.0
anomaly_duration,0.0
