feature,importance
reimb_zscore,0.9997431848753524
anomaly_reimb,0.00023813434949605537
reimb_per_day,6.125613679407611e-06
miles_x_duration,3.986698989535573e-06
receipts_per_day,3.0252646046253335e-06
total_receipts_amount,1.5736970411923292e-06
miles_traveled,9.57057517058942e-07
mileage_efficiency,6.546001792773218e-07
receipts_x_duration,6.305352748617658e-07
miles_per_day,5.986479598608886e-07
receipt_efficiency,4.5012571255514897e-07
trip_duration_days,2.0163516515560928e-07
receipts_to_miles_ratio,1.9845159409491493e-07
reimb_per_receipt,1.5181143999864762e-07
miles_x_receipts,1.0166190994559758e-07
reimb_per_mile,1.6170385218414942e-08
miles_zscore,8.803698755234296e-09
high_receipts,0.0
high_mileage,0.0
long_trip,0.0
over_receipt_cap,0.0
near_receipt_cap,0.0
under_100_miles,0.0
anomaly_miles,0.0
