,0
reimb_zscore,0.999507311654432
anomaly_reimb,0.000271361224971028
miles_x_duration,3.661421189465594e-05
reimb_per_day,2.8753241964322626e-05
mileage_efficiency,1.842283532124113e-05
receipts_per_day,1.8332873439065103e-05
reimb_per_mile,1.4754398423686092e-05
miles_traveled,1.3222998938616457e-05
miles_zscore,1.1785425334819512e-05
receipts_x_duration,1.026836149278785e-05
reimb_per_receipt,1.0263565607950978e-05
receipt_efficiency,9.855308605051539e-06
miles_x_receipts,9.026740285950453e-06
receipts_zscore,7.926851377373766e-06
total_receipts_amount,7.391309752305004e-06
