feature,importance
high_receipts,0.51517755
over_receipt_cap,0.45086908
reimb_zscore,0.02018063
anomaly_reimb,0.004043054
miles_x_duration,0.003986876
near_receipt_cap,0.001486932
receipts_x_duration,0.001060705
receipt_efficiency,0.001052637
miles_x_receipts,0.000690073
total_receipts_amount,0.00058489706
miles_zscore,0.00039568145
reimb_per_mile,0.00018864583
reimb_per_receipt,9.6267315e-05
reimb_per_day,4.51932e-05
trip_duration_days,3.6467027e-05
miles_traveled,3.5880315e-05
receipts_per_day,3.453442e-05
mileage_efficiency,1.7978975e-05
receipts_to_miles_ratio,1.0765604e-05
miles_per_day,5.5390565e-06
long_trip,6.424801e-07
high_mileage,0.0
under_100_miles,0.0
anomaly_miles,0.0
